"Type","A","M","F","O","N"
"AA1",0.85,0,0,0.1,0.05
"AA2",0.6,0.05,0.1,0.2,0.2
"AA3",0.65,0,0.05,0.15,0.2
"AA4",0.55,0.15,0.1,0.15,0.25
"AM1",0.05,0.85,0,0.4,0
"AM2",0.05,0.6,0.05,0.35,0.2
"AM3",0.1,0.6,0.1,0.4,0.1
"AM4",0.05,0.7,0.1,0.35,0.05
"MA1",0.05,0.65,0.1,0.4,0.05
"MA2",0.1,0.5,0.1,0.35,0.15
"MA3",0.05,0.65,0.15,0.5,0.05
"MA4",0.2,0.55,0.15,0.3,0.05
"AF1",0.05,0,0.85,0.4,0
"AF2",0.05,0,0.85,0.25,0.1
"AF3",0.05,0,0.8,0.35,0.05
"AF4",0.05,0,0.75,0.25,0.15
"FA1",0.1,0,0.8,0.3,0.05
"FA2",0.05,0.05,0.7,0.3,0.15
"FA3",0.1,0.05,0.6,0.45,0
"FA4",0.05,0.05,0.65,0.45,0.05
"AO1",0.05,0.25,0.1,0.9,0.05
"AO2",0.05,0.15,0.1,0.75,0.1
"AO3",0.05,0.1,0.1,0.8,0.15
"AO4",0.05,0.1,0.1,0.8,0.15
"OA1",0.1,0.2,0.1,0.85,0.1
"OA2",0.05,0.15,0.2,0.65,0.1
"OA3",0.05,0.1,0.15,0.85,0.1
"OA4",0.1,0.25,0.3,0.55,0.1
"MM1",0,0.65,0.15,0.35,0.15
"MM2",0,0.45,0.2,0.3,0.25
"MM3",0,0.5,0.05,0.5,0.1
"MM4",0,0.5,0.15,0.35,0.15
"MF1",0,0,0.75,0.25,0.1
"MF2",0,0.1,0.6,0.35,0.15
"MF3",0,0.1,0.55,0.5,0.1
"MF4",0,0.05,0.7,0.3,0.1
"FM1",0,0.1,0.6,0.5,0.05
"FM2",0,0.2,0.5,0.4,0.1
"FM3",0,0.1,0.7,0.3,0.1
"FM4",0,0.15,0.65,0.3,0.1
"MO1",0,0.1,0.25,0.8,0.1
"MO2",0,0.1,0.2,0.75,0.15
"MO3",0,0.3,0.15,0.65,0.15
"MO4",0,0.15,0.2,0.75,0.15
"OM1",0,0.2,0.2,0.6,0.2
"OM2",0,0.2,0.25,0.7,0.15
"OM3",0,0.25,0.3,0.75,0.1
"OM4",0,0.25,0.15,0.7,0.15
"FF1",0,0.05,0.55,0.35,0.2
"FF2",0,0.1,0.55,0.3,0.2
"FF3",0,0.1,0.5,0.35,0.2
"FF4",0,0.05,0.6,0.3,0.2
"FO1",0,0.05,0.4,0.6,0.2
"FO2",0,0,0.55,0.65,0.1
"FO3",0,0.05,0.6,0.6,0.1
"FO4",0,0,0.55,0.6,0.1
"OF1",0,0.05,0.45,0.4,0.15
"OF2",0,0,0.45,0.55,0.15
"OF3",0,0,0.5,0.55,0.15
"OF4",0,0.05,0.65,0.4,0.15
"OO1",0,0.1,0.1,0.8,0.1
"OO2",0,0.1,0.2,0.7,0.15
"OO3",0,0.15,0.15,0.6,0.25
"OO4",0,0.05,0.2,0.7,0.2
