"Type","A","I","E","O","N"
"AA1",0.85,0.1,0,0,0.05
"AA2",0.35,0.2,0,0,0.45
"AA3",0.2,0.65,0,0,0.15
"AA4",0.85,0.1,0,0,0.05
"AI1",0,0.9,0,0,0.1
"AI2",0,0.25,0,0,0.75
"AI3",0,1,0,0,0
"AI4",0,0.6,0,0,0.4
"IA1",0,0.7,0,0,0.3
"IA2",0,0.5,0,0,0.5
"IA3",0,1,0,0,0
"IA4",0,0.95,0,0,0.05
"AE1",0,0,0.55,0.15,0.3
"AE2",0,0,0.75,0,0.25
"AE3",0,0,0.4,0.35,0.25
"AE4",0,0,0.9,0,0.1
"EA1",0,0,0.8,0,0.2
"EA2",0,0,0.75,0.15,0.1
"EA3",0,0,0.35,0.35,0.3
"EA4",0,0,0.65,0.15,0.2
"AO1",0,0,0,0.55,0.45
"AO2",0,0,0,0.7,0.3
"AO3",0,0,0,0.9,0.1
"AO4",0,0,0,0.75,0.25
"OA1",0,0,0,0.75,0.25
"OA2",0,0,0,0.55,0.45
"OA3",0,0,0,0.75,0.25
"OA4",0,0,0,0.5,0.5
"II1",0,0.2,0,0,0.8
"II2",0,0.15,0,0,0.85
"II3",0,0.1,0,0,0.9
"II4",0,0.15,0,0,0.85
"IE1",0,0,0.15,0.45,0.4
"IE2",0,0,0.4,0.35,0.25
"IE3",0,0,0.2,0.7,0.1
"IE4",0,0,0.1,0.85,0.05
"EI1",0,0,0.1,0.7,0.2
"EI2",0,0,0.1,0.65,0.25
"EI3",0,0,0.1,0.65,0.25
"EI4",0,0,0.25,0.4,0.35
"IO1",0,0,0,0.1,0.9
"IO2",0,0,0,0.1,0.9
"IO3",0,0,0,0.05,0.95
"IO4",0,0,0,0.2,0.8
"OI1",0,0,0,0.2,0.8
"OI2",0,0,0,0.25,0.75
"OI3",0,0,0,0.05,0.95
"OI4",0,0.15,0,0,0.85
"EE1",0,0,0.25,0,0.75
"EE2",0,0,0.1,0,0.9
"EE3",0,0,0.2,0.15,0.65
"EE4",0,0,0.35,0,0.65
"EO1",0,0,0,0.25,0.75
"EO2",0,0,0.05,0.1,0.85
"EO3",0,0,0.1,0.2,0.7
"EO4",0,0,0,0.2,0.8
"OE1",0,0,0.05,0.1,0.85
"OE2",0,0,0.1,0.15,0.75
"OE3",0,0,0.05,0.2,0.75
"OE4",0,0,0,0.3,0.7
"OO1",0,0,0,0.2,0.8
"OO2",0,0,0,0,1
"OO3",0,0,0,0,1
"OO4",0,0,0,0,1
